ID,Drug Name,Targets,Z Score,Count
"1010","Gefitinib","EGFR","-2.0867447574840479","281"
"1032","Afatinib","EGFR, ERBB2","-1.9282444267338985","281"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-1.9243654171522613","281"
"1026","Tanespimycin","HSP90","-1.8222188941360087","281"
"1820","123829","","-1.7302222176216644","281"
"1919","Osimertinib","EGFR","-1.6882464871835088","281"
"1915","AZD3759","EGFR","-1.6206464431611209","281"
"1558","Lapatinib","EGFR, ERBB2","-1.5290295801420359","281"
"1832","729189","","-1.5269453156505615","281"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-1.5175658369038594","281"
"1839","615590","","-1.5083981500090606","281"
"1168","Erlotinib","EGFR","-1.4818779451003825","281"
"1838","Sinularin","","-1.4056727433635212","281"
"1933","P22077","USP7, USP47","-1.3986904244544061","281"
"1808","Topotecan","TOP1","-1.3386676201174559","281"
"2499","N-acetyl cysteine","Metabolism","-1.1888450905745347","281"
"1799","Ibrutinib","BTK","-1.1872293351275773","281"
"2110","GSK591","PMRT5","-1.1773549734201456","281"
"1615","CZC24832","PI3Kgamma","-1.1557969209654695","281"
"2156","5-azacytidine","DNA methyltransferases","-1.154219469128009","281"
"1831","L-Oxonoreleagnine","","-1.1340317407418186","281"
"1618","GSK2606414","PERK","-1.113047920600051","281"
"1925","GDC0810","ESR1, ESR2","-1.1091241475405598","281"
"1840","630600","","-1.1045733311764623","281"
"1088","Irinotecan","TOP1","-1.0892673530634798","281"
"1809","Teniposide","","-1.0828578804289142","281"
"1716","IRAK4_4710","IRAK4","-1.0501134519381921","281"
"1019","Bosutinib","SRC, ABL, TEC","-1.0484167290225113","281"
"1836","150412","","-1.0379177382313092","281"
"1190","Gemcitabine","Pyrimidine antimetabolite","-1.0288448576031926","281"
"1494","SN-38","TOP1","-.99886705924227348","281"
"1199","Tamoxifen","ESR1","-.98789767498079128","281"
"1048","Mirin","MRE11","-.97933312299290143","281"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-.9677218632813005","281"
"1003","Camptothecin","TOP1","-.96176283616317004","281"
"1720","AZD5991","MCL1","-.93849502285185349","281"
"1849","Sabutoclax","BCL2,  BCL-XL,  BFL1, MCL1","-.91886653824138897","281"
"2039","AGK2","BAZ2A, BAZ2B","-.90866435334091744","281"
"1559","Luminespib","HSP90","-.89387593176036995","281"
"1625","RVX-208","BRD4","-.83679060400214389","281"
"1038","NU7441","DNAPK","-.81085000459398449","281"
"1050","ZM447439","AURKA, AURKB","-.79638799646642366","281"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","-.79260218825101081","281"
"1855","KRAS (G12C) Inhibitor-12","KRAS (G12C)","-.78728268413494895","281"
"1133","Serdemetan","MDM2","-.7729095765563172","281"
"1828","720427","","-.75867965058720543","281"
"1826","50869","","-.75408554628199764","281"
