,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
1,A01,177697,
1,A02,166554,
1,A03,143973,
1,A04,146633,
1,A05,142858,
1,A06,151322,
1,A07,157839,
1,A08,165785,
1,A09,146648,
1,A10,137361,
1,A11,123914,
1,A12,32278,
1,B01,176252,
1,B02,157435,
1,B03,65263,
1,B04,120029,
1,B05,112603,
1,B06,115879,
1,B07,75989,
1,B08,96006,
1,B09,141588,
1,B10,57533,
1,B11,70211,
1,B12,31409,
1,C01,179864,
1,C02,164247,
1,C03,160645,
1,C04,97139,
1,C05,109213,
1,C06,139843,
1,C07,148726,
1,C08,156995,
1,C09,144565,
1,C10,145750,
1,C11,127719,
1,C12,33106,
1,D01,174214,
1,D02,161162,
1,D03,177018,
1,D04,77464,
1,D05,148001,
1,D06,143886,
1,D07,167506,
1,D08,130601,
1,D09,133205,
1,D10,181702,
1,D11,127269,
1,D12,33551,
1,E01,41363,
1,E02,179388,
1,E03,122824,
1,E04,127981,
1,E05,119123,
1,E06,39787,
1,E07,148725,
1,E08,146502,
1,E09,106960,
1,E10,60111,
1,E11,150177,
1,E12,152098,
1,F01,40621,
1,F02,160639,
1,F03,139710,
1,F04,152845,
1,F05,120753,
1,F06,131123,
1,F07,97316,
1,F08,132648,
1,F09,142739,
1,F10,127172,
1,F11,110326,
1,F12,145357,
1,G01,36583,
1,G02,157009,
1,G03,124991,
1,G04,113616,
1,G05,129879,
1,G06,62118,
1,G07,156024,
1,G08,163251,
1,G09,124211,
1,G10,147451,
1,G11,145431,
1,G12,132429,
1,H01,37474,
1,H02,157062,
1,H03,123166,
1,H04,114917,
1,H05,135510,
1,H06,106816,
1,H07,136094,
1,H08,132237,
1,H09,159328,
1,H10,79240,
1,H11,119755,
1,H12,146647,

,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
2,A01,147649,
2,A02,145036,
2,A03,146797,
2,A04,149785,
2,A05,159741,
2,A06,164264,
2,A07,164040,
2,A08,180585,
2,A09,162594,
2,A10,142620,
2,A11,132871,
2,A12,33398,
2,B01,135918,
2,B02,139139,
2,B03,79822,
2,B04,116191,
2,B05,116919,
2,B06,120070,
2,B07,80933,
2,B08,92341,
2,B09,146839,
2,B10,62085,
2,B11,78375,
2,B12,33173,
2,C01,150622,
2,C02,160518,
2,C03,165550,
2,C04,103095,
2,C05,112345,
2,C06,128486,
2,C07,162033,
2,C08,174230,
2,C09,161670,
2,C10,151032,
2,C11,122634,
2,C12,33396,
2,D01,155500,
2,D02,144085,
2,D03,170218,
2,D04,88859,
2,D05,142532,
2,D06,142927,
2,D07,172999,
2,D08,144346,
2,D09,134063,
2,D10,193237,
2,D11,127543,
2,D12,33803,
2,E01,41701,
2,E02,155268,
2,E03,114400,
2,E04,123984,
2,E05,118954,
2,E06,31365,
2,E07,157860,
2,E08,154602,
2,E09,123356,
2,E10,60877,
2,E11,149182,
2,E12,147970,
2,F01,36474,
2,F02,147893,
2,F03,147134,
2,F04,146024,
2,F05,118887,
2,F06,135754,
2,F07,110476,
2,F08,153004,
2,F09,155988,
2,F10,125929,
2,F11,123053,
2,F12,147673,
2,G01,36476,
2,G02,153763,
2,G03,122779,
2,G04,101631,
2,G05,130261,
2,G06,68656,
2,G07,150292,
2,G08,166904,
2,G09,123247,
2,G10,144160,
2,G11,149543,
2,G12,153697,
2,H01,32331,
2,H02,134117,
2,H03,126901,
2,H04,115083,
2,H05,129875,
2,H06,95959,
2,H07,133828,
2,H08,129903,
2,H09,137030,
2,H10,75202,
2,H11,126426,
2,H12,151215,

,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
3,A01,123728,
3,A02,93396,
3,A03,178983,
3,A04,133872,
