plate,drugs,drug_avg,drug_sd,ctrl_count,ctrl_avg,ctrl_sd,ttest_pval,wilcox_pval,ttest_color,wilcox_color,drug_to_ctlr,d_t_c_SD
1,Hydroxyurea,607485.8958333334,1403.1603869888086,4,611565.625,32480.52704293727,0.818020726053703,0.4,gray,gray,0.9933290410711579,0.05280602259121498
1,Tazemetostat,423208.0833333333,35349.623007851165,2,554392.328125,90105.26920430012,0.26518962586103306,0.2,gray,gray,0.7633729073500305,0.13949649249893661
1,Pemetrexed,483885.0416666667,8827.443631743823,2,574754.515625,118901.75092638402,0.47484411315056374,0.2,gray,gray,0.841898634133357,0.17484279336183212
1,Raloxifene (hydrochloride),611465.8958333334,28858.70433887304,2,659189.84375,507.8352514134136,0.10326903114494886,0.2,gray,gray,0.9276021189204394,0.04378488087355862
1,Mifepristone,583891.9791666666,30865.309052393102,2,651069.78125,11991.337766230594,0.048830816775698074,0.2,orange,gray,0.8968193517531138,0.050202179229542475
1,Fulvestrant,598702.625,17436.751687908538,2,653641.6875,15628.562466132722,0.047343931461453125,0.2,orange,gray,0.9159492676941601,0.034514494929233044
1,Enzalutamide,638068.625,9654.078740315865,2,680292.09375,22060.803495369975,0.1942871417838246,0.2,gray,gray,0.9379333243206606,0.03356339897800901
1,Rucaparib,648981,15939.099527454295,2,688689.5,10185.077687863382,0.043148228858420117,0.2,orange,gray,0.9423419407439783,0.027016135861128224
1,5-Fluorouracil,597366.5833333334,21821.475347669744,2,653885.4375,39035.29952531747,0.25138631030826153,0.2,gray,gray,0.9135645926253456,0.06393769446611423
1,Gemcitabine,305645.3645833333,36393.167867525895,6,612200.5729166666,26942.677816622803,7.782064775912749e-4,0.023809523809523808,orange,orange,0.49925690713938303,0.06337709286995619
1,Erlotinib,601166.5416666666,25919.00417514125,4,594780.3046875,69877.30008418279,0.8747200625696951,0.6285714285714286,gray,gray,1.0107371359287391,0.12648923328782738
1,Saracatinib,604593.8125,6620.733515052826,4,616648.1484375,85849.81927275653,0.7976083985505085,0.4,gray,gray,0.9804518411868356,0.13692021526087894
1,Ipatasertib,746329.4375,30281.96341967907,4,662618.578125,12347.261712957583,0.02957678154845437,0.05714285714285714,orange,gray,1.1263334022596758,0.05028948940105958
1,Vorinostat,756075.0833333334,30724.621341387017,4,660543.671875,19763.79025913872,0.015408010386413599,0.05714285714285714,orange,gray,1.1446254283038708,0.05776221875878863
1,Buparlisib,668786.6041666666,37205.09959713254,4,678218.65625,32042.671669429248,0.7425488897422869,0.6285714285714286,gray,gray,0.9860929038203033,0.07197061366546176
1,Everolimus,708618.6875,32551.315909880566,4,691806.609375,21656.01963991088,0.48994585525431433,0.6285714285714286,gray,gray,1.0243017020901095,0.05693916928708089
1,Topotecan (Hydrochloride),352120.8333333333,6088.956927838752,4,686837.9375,7203.523338588092,2.320560837907643e-8,0.05714285714285714,orange,gray,0.5126694582640658,0.010368333903994904
1,Bortezomib,246322.953125,12318.254194453446,4,560042.63671875,207120.81561578705,0.05598062827508565,0.11428571428571428,gray,gray,0.4398289290404543,0.1641424891269723
1,FRAX597,611038.6875,47707.07834310498,6,594099.84375,22087.532510543067,0.608463247961437,0.7142857142857142,gray,gray,1.028511779506759,0.08894087880345242
1,Ganetespib,412061.1666666667,8892.888790509222,4,611542.265625,27521.709533319205,2.385366826081207e-4,0.05714285714285714,orange,gray,0.6738065213620805,0.03363030239375358
1,Afatinib,496798.1354166667,7510.193086051693,4,608787.171875,63446.13136509025,0.03733687564691794,0.05714285714285714,orange,gray,0.81604566976433,0.08593610663759613
